"Shop", "Categorias"
"Order", "Pedido"
"Order #", "Pedido"
"SKU", "Codigo"
"About Us", "Empresa"
"pages", "Paginas"
"Contact us", "Contato"
"My wishlist", "Lista de Desejos"
"CheckOut", "Finalizar Compra"
"Search products", "Buscar Produtos"
"Please wait, loading...", "Aguarde, carregando..."
"New in Stores", "Novidades"
"View all Collection ", Veja toda coleção"
"Featured Products", "CONFIRA - PRODUTOS DE ÓTIMA QUALIDADE E PREÇOS ESPECIAIS !"
" Procducts", " Produtos"
"click here for more items", "Clique e veja mais itens"
"return to home page", "Voltar para pagina inicial"
"Root Catalog", "Categoria"
"Product Price", "Preço do Produto"
"Product Quantity", "Quantidade do Produto"
"If You haven't Account, Register Directly", "Se você ainda não tem uma conta, Registre-se agora"
"Registered User", "Usuário Registrado"
"100% Satisfied Customers", "100% de Clientes Satisfeitos"
"If You have Account, Login Directly", "Já é cliente? Faça seu login."
"Use your registered email address to log into our site", "Utilize seu e-mail para acessar a loja."
"Account Dashboard", "Minha Conta"
"Account Info", "Informações da conta",
"Logout", "Sair"
"New User", "Novo Usuário"
"It’s free and always will be.", "É grátis e sempre será."
"view cart", "Carrinho"
"Checkout", "Finalizar"
" Products Selected", " Produtos Selecionados"
"Clear", "Limpar"
"edit/delete", "Editar/Apagar"
"estimate shipping and tax", "Calculo de Frete"
"Enter your destination to get a shipping estimate", "Entre com seu cep para calculo do frete"
"Enter your coupon code if you have", "Entre com o cupom de desconto"
"Search results", "Resultado da busca"
" Sub Categories", " Sub Categoria"
"You have logged out and will be redirected to our homepage in 3 seconds.", "Você foi desconectado e será redirecionado para página inicial em 3 segundos."



